Part           	Vertex         	Longitude (dd) 	Latitude (dd)  	Z (Meters)     
1              	118            	172.7800481°E  	43.5784223°S   	0              
1              	119            	172.7782540°E  	43.5796332°S   	0              
1              	120            	172.7757400°E  	43.5818835°S   	0              
1              	121            	172.7731092°E  	43.5834396°S   	0              
1              	122            	172.7716711°E  	43.5850847°S   	0              
1              	123            	172.7710660°E  	43.5873387°S   	0              
1              	124            	172.7720180°E  	43.5880345°S   	0              
1              	125            	172.7740475°E  	43.5877783°S   	0              
1              	126            	172.7759619°E  	43.5863943°S   	0              
1              	127            	172.7772806°E  	43.5847488°S   	0              
1              	128            	172.7848023°E  	43.5835489°S   	0              
1              	129            	172.9501964°E  	43.6043585°S   	0              
1              	130            	172.8755780°E  	43.8101312°S   	0              
1              	131            	172.7636883°E  	43.8521022°S   	0              
1              	132            	172.7207233°E  	43.8289665°S   	0              
1              	133            	172.7194237°E  	43.8266594°S   	0              
1              	134            	172.7158728°E  	43.8254309°S   	0              
1              	135            	172.7119503°E  	43.8236593°S   	0              
1              	136            	172.7130871°E  	43.8208162°S   	0              
1              	137            	172.7144044°E  	43.8193287°S   	0              
1              	138            	172.7168466°E  	43.8174375°S   	0              
1              	139            	172.7211532°E  	43.8170415°S   	0              
1              	140            	172.7243337°E  	43.8173203°S   	0              
1              	141            	172.7277039°E  	43.8170573°S   	0              
1              	142            	172.7314514°E  	43.8161175°S   	0              
1              	143            	172.7346421°E  	43.8140921°S   	0              
1              	144            	172.7389578°E  	43.8115271°S   	0              
1              	145            	172.7436533°E  	43.8076076°S   	0              
1              	146            	172.7529646°E  	43.8044263°S   	0              
1              	147            	172.7576461°E  	43.8035893°S   	0              
1              	148            	172.7611589°E  	43.8025380°S   	0              
1              	149            	172.7673126°E  	43.7989508°S   	0              
1              	150            	172.7746318°E  	43.7962127°S   	0              
1              	151            	172.7804848°E  	43.7945300°S   	0              
1              	152            	172.7854590°E  	43.7932689°S   	0              
1              	153            	172.7907209°E  	43.7932787°S   	0              
1              	154            	172.7971564°E  	43.7920197°S   	0              
1              	155            	172.7971685°E  	43.7884199°S   	0              
1              	156            	172.7957171°E  	43.7854528°S   	0              
1              	157            	172.7928023°E  	43.7831182°S   	0              
1              	158            	172.7916449°E  	43.7797280°S   	0              
1              	159            	172.7937046°E  	43.7757084°S   	0              
1              	160            	172.7954681°E  	43.7727469°S   	0              
1              	161            	172.7975302°E  	43.7678802°S   	0              
1              	162            	172.7995876°E  	43.7642840°S   	0              
1              	163            	172.8060225°E  	43.7621775°S   	0              
1              	164            	172.8112863°E  	43.7607040°S   	0              
1              	165            	172.8171477°E  	43.7547844°S   	0              
1              	166            	172.8124748°E  	43.7543533°S   	0              
1              	167            	172.8095420°E  	43.7579483°S   	0              
1              	168            	172.8045720°E  	43.7589987°S   	0              
1              	169            	172.8022528°E  	43.7534890°S   	0              
1              	170            	172.7984643°E  	43.7507296°S   	0              
1              	171            	172.7972894°E  	43.7526333°S   	0              
1              	172            	172.7969737°E  	43.7596207°S   	0              
1              	173            	172.7937497°E  	43.7625795°S   	0              
1              	174            	172.7896459°E  	43.7663837°S   	0              
1              	175            	172.7896347°E  	43.7695600°S   	0              
1              	176            	172.7887522°E  	43.7712524°S   	0              
1              	177            	172.7858247°E  	43.7727293°S   	0              
1              	178            	172.7846444°E  	43.7759034°S   	0              
1              	179            	172.7781955°E  	43.7811850°S   	0              
1              	180            	172.7708637°E  	43.7877349°S   	0              
1              	181            	172.7603317°E  	43.7900427°S   	0              
1              	182            	172.7553503°E  	43.7929967°S   	0              
1              	183            	172.7471519°E  	43.7961552°S   	0              
1              	184            	172.7395455°E  	43.7974086°S   	0              
1              	185            	172.7307495°E  	43.8031056°S   	0              
1              	186            	172.7254664°E  	43.8075399°S   	0              
1              	187            	172.7234177°E  	43.8079585°S   	0              
1              	188            	172.7149422°E  	43.8070906°S   	0              
1              	189            	172.7158415°E  	43.8024343°S   	0              
1              	190            	172.7173273°E  	43.7973558°S   	0              
1              	191            	172.7079403°E  	43.8038966°S   	0              
1              	192            	172.7041133°E  	43.8091807°S   	0              
1              	193            	172.6979472°E  	43.8142467°S   	0              
1              	194            	172.6944522°E  	43.8114846°S   	0              
1              	195            	172.6962421°E  	43.8045014°S   	0              
1              	196            	172.6912673°E  	43.8053351°S   	0              
1              	197            	172.6889535°E  	43.8004585°S   	0              
1              	198            	172.6918868°E  	43.7985606°S   	0              
1              	199            	172.6956971°E  	43.7966650°S   	0              
1              	200            	172.7015597°E  	43.7935041°S   	0              
1              	201            	172.7053703°E  	43.7913965°S   	0              
1              	202            	172.7094679°E  	43.7903482°S   	0              
1              	203            	172.7129715°E  	43.7912041°S   	0              
1              	204            	172.7156124°E  	43.7890931°S   	0              
1              	205            	172.7205954°E  	43.7861408°S   	0              
1              	206            	172.7252817°E  	43.7840346°S   	0              
