Part           	Vertex         	Longitude (dd) 	Latitude (dd)  	Z (Meters)     
1              	1              	172.7636883°E  	43.8521022°S   	0              
1              	2              	172.7207233°E  	43.8289665°S   	0              
1              	3              	172.7194237°E  	43.8266594°S   	0              
1              	4              	172.7158728°E  	43.8254309°S   	0              
1              	5              	172.7119503°E  	43.8236593°S   	0              
1              	6              	172.7130871°E  	43.8208162°S   	0              
1              	7              	172.7144044°E  	43.8193287°S   	0              
1              	8              	172.7168466°E  	43.8174375°S   	0              
1              	9              	172.7211532°E  	43.8170415°S   	0              
1              	10             	172.7243337°E  	43.8173203°S   	0              
1              	11             	172.7277039°E  	43.8170573°S   	0              
1              	12             	172.7314514°E  	43.8161175°S   	0              
1              	13             	172.7346421°E  	43.8140921°S   	0              
1              	14             	172.7389578°E  	43.8115271°S   	0              
1              	15             	172.7436533°E  	43.8076076°S   	0              
1              	16             	172.7529646°E  	43.8044263°S   	0              
1              	17             	172.7576461°E  	43.8035893°S   	0              
1              	18             	172.7611589°E  	43.8025380°S   	0              
1              	19             	172.7673126°E  	43.7989508°S   	0              
1              	20             	172.7746318°E  	43.7962127°S   	0              
1              	21             	172.7804848°E  	43.7945300°S   	0              
1              	22             	172.7854590°E  	43.7932689°S   	0              
1              	23             	172.7907209°E  	43.7932787°S   	0              
1              	24             	172.7971564°E  	43.7920197°S   	0              
1              	25             	172.7971685°E  	43.7884199°S   	0              
1              	26             	172.7957171°E  	43.7854528°S   	0              
1              	27             	172.7928023°E  	43.7831182°S   	0              
1              	28             	172.7916449°E  	43.7797280°S   	0              
1              	29             	172.7937046°E  	43.7757084°S   	0              
1              	30             	172.7954681°E  	43.7727469°S   	0              
1              	31             	172.7975302°E  	43.7678802°S   	0              
1              	32             	172.7995876°E  	43.7642840°S   	0              
1              	33             	172.8060225°E  	43.7621775°S   	0              
1              	34             	172.8112863°E  	43.7607040°S   	0              
1              	35             	172.8171477°E  	43.7547844°S   	0              
1              	36             	172.8124748°E  	43.7543533°S   	0              
1              	37             	172.8095420°E  	43.7579483°S   	0              
1              	38             	172.8045720°E  	43.7589987°S   	0              
1              	39             	172.8022528°E  	43.7534890°S   	0              
1              	40             	172.7984643°E  	43.7507296°S   	0              
1              	41             	172.7972894°E  	43.7526333°S   	0              
1              	42             	172.7969737°E  	43.7596207°S   	0              
1              	43             	172.7937497°E  	43.7625795°S   	0              
1              	44             	172.7896459°E  	43.7663837°S   	0              
1              	45             	172.7896347°E  	43.7695600°S   	0              
1              	46             	172.7887522°E  	43.7712524°S   	0              
1              	47             	172.7858247°E  	43.7727293°S   	0              
1              	48             	172.7846444°E  	43.7759034°S   	0              
1              	49             	172.7781955°E  	43.7811850°S   	0              
1              	50             	172.7708637°E  	43.7877349°S   	0              
1              	51             	172.7603317°E  	43.7900427°S   	0              
1              	52             	172.7553503°E  	43.7929967°S   	0              
1              	53             	172.7471519°E  	43.7961552°S   	0              
1              	54             	172.7395455°E  	43.7974086°S   	0              
1              	55             	172.7307495°E  	43.8031056°S   	0              
1              	56             	172.7254664°E  	43.8075399°S   	0              
1              	57             	172.7234177°E  	43.8079585°S   	0              
1              	58             	172.7149422°E  	43.8070906°S   	0              
1              	59             	172.7158415°E  	43.8024343°S   	0              
1              	60             	172.7173273°E  	43.7973558°S   	0              
1              	61             	172.7079403°E  	43.8038966°S   	0              
1              	62             	172.7041133°E  	43.8091807°S   	0              
1              	63             	172.6979472°E  	43.8142467°S   	0              
1              	64             	172.6944522°E  	43.8114846°S   	0              
1              	65             	172.6962421°E  	43.8045014°S   	0              
1              	66             	172.6912673°E  	43.8053351°S   	0              
1              	67             	172.6889535°E  	43.8004585°S   	0              
1              	68             	172.6918868°E  	43.7985606°S   	0              
1              	69             	172.6956971°E  	43.7966650°S   	0              
1              	70             	172.7015597°E  	43.7935041°S   	0              
1              	71             	172.7053703°E  	43.7913965°S   	0              
1              	72             	172.7094679°E  	43.7903482°S   	0              
1              	73             	172.7129715°E  	43.7912041°S   	0              
1              	74             	172.7156124°E  	43.7890931°S   	0              
1              	75             	172.7205954°E  	43.7861408°S   	0              
1              	76             	172.7252817°E  	43.7840346°S   	0              
1              	77             	172.7226630°E  	43.7814872°S   	0              
1              	78             	172.7182640°E  	43.7846528°S   	0              
1              	79             	172.7124092°E  	43.7865440°S   	0              
1              	80             	172.7056793°E  	43.7880092°S   	0              
1              	81             	172.6968846°E  	43.7930683°S   	0              
1              	82             	172.6916293°E  	43.7917837°S   	0              
1              	83             	172.6945730°E  	43.7877683°S   	0              
1              	84             	172.7001446°E  	43.7841832°S   	0              
1              	85             	172.7025081°E  	43.7791072°S   	0              
1              	86             	172.7080990°E  	43.7712867°S   	0              
1              	87             	172.7160050°E  	43.7679185°S   	0              
1              	88             	172.7285993°E  	43.7613846°S   	0              
1              	89             	172.7306587°E  	43.7582131°S   	0              
1              	90             	172.7236422°E  	43.7592552°S   	0              
1              	91             	172.7142719°E  	43.7636790°S   	0              
1              	92             	172.7037231°E  	43.7697931°S   	0              
1              	93             	172.6987045°E  	43.7799443°S   	0              
1              	94             	172.6896083°E  	43.7869079°S   	0              
1              	95             	172.6825810°E  	43.7892179°S   	0              
1              	96             	172.6781930°E  	43.7898409°S   	0              
1              	97             	172.6740835°E  	43.7930056°S   	0              
1              	98             	172.6694075°E  	43.7927804°S   	0              
1              	99             	172.6661813°E  	43.7946768°S   	0              
1              	100            	172.6644309°E  	43.7940364°S   	0              
1              	101            	172.6626924°E  	43.7912785°S   	0              
1              	102            	172.6656309°E  	43.7885343°S   	0              
1              	103            	172.6706198°E  	43.7849489°S   	0              
